beta,peak,final_inf,final_rec,deaths,death_fraction
0.1,0.000888888888888889,0.0,0.0011111111111111111,0.0,0.0
0.2,0.33220598031510795,0.3199674569967457,0.013810320781032078,44.0,0.014666666666666666
0.3,0.6666591538157375,0.6439546941619719,0.022823083615805862,208.0,0.06933333333333334
0.4,0.6668888888888889,0.6297222203377437,0.03716666855114512,226.66666666666666,0.07555555555555556
0.5,1.0,0.9966253028541973,0.003374697145802746,317.6666666666667,0.10588888888888888
0.6,1.0,0.9933517224548868,0.0066482775451131675,348.0,0.116
0.7,1.0,0.9621267723266413,0.03787322767335867,361.3333333333333,0.12044444444444445
0.8,1.0,0.9463482958474646,0.05365170415253554,356.3333333333333,0.11877777777777777
0.9,1.0,0.9634783387470343,0.036521661252965736,385.6666666666667,0.12855555555555553
1.0,1.0,1.0,0.0,407.3333333333333,0.13577777777777778
