time,black,white,temperature,luminosity,albedo
0,180,180,16.91353620493854,1.0,0.43999999999999645
1,430,181,23.53590045135762,1.0,0.3987222222222214
2,559,254,27.858479780287965,1.0,0.4056111111111108
3,577,308,29.523040931630113,1.0,0.423611111111111
4,576,321,30.13223829088529,1.0,0.42883333333333323
5,572,325,30.402859472220026,1.0,0.43105555555555547
6,571,327,30.460699849600033,1.0,0.43199999999999994
7,568,329,30.413708023210035,1.0,0.4332777777777777
8,567,330,30.37467438978649,1.0,0.43383333333333324
9,564,332,30.285253628148787,1.0,0.435111111111111
10,562,335,30.213433494783683,1.0,0.43661111111111106
11,560,335,30.060395249673363,1.0,0.4369444444444443
12,556,338,29.887538310656584,1.0,0.4387777777777776
13,554,340,29.73677016319719,1.0,0.4398888888888887
14,552,344,29.533797261573394,1.0,0.44177777777777766
15,550,346,29.323305838099554,1.0,0.4428888888888888
16,546,350,29.105152001849497,1.0,0.445111111111111
17,543,354,28.780265899143362,1.0,0.4471666666666666
18,540,358,28.45153551445489,1.0,0.4492222222222222
19,543,355,28.320820640510856,1.0,0.4475555555555555
20,542,355,28.264645898255033,1.0,0.44772222222222213
21,544,353,28.257023918866118,1.0,0.446611111111111
22,541,356,28.22224908904094,1.0,0.4482777777777777
23,539,359,28.089586790091825,1.0,0.4497777777777777
24,540,359,28.03248781714373,1.0,0.4496111111111111
25,537,361,27.95754739125473,1.0,0.4508888888888889
26,538,361,27.845051767632757,1.0,0.4507222222222222
27,534,366,27.67341378503463,1.0,0.4533333333333333
28,536,364,27.567317896395053,1.0,0.45222222222222225
29,536,364,27.499052545128794,1.0,0.45222222222222225
30,537,363,27.459118468782844,1.0,0.45166666666666666
31,538,362,27.463098339091633,1.0,0.45111111111111113
32,538,361,27.525116894185867,1.0,0.4507222222222222
33,539,361,27.56957333049248,1.0,0.45055555555555554
34,539,361,27.553660329879097,1.0,0.45055555555555554
35,537,362,27.52861841864847,1.0,0.4512777777777778
36,537,362,27.494746488494904,1.0,0.4512777777777778
37,535,365,27.41945018304103,1.0,0.4527777777777778
38,533,366,27.342753600718797,1.0,0.45349999999999996
39,530,370,27.271023264433236,1.0,0.45555555555555555
40,529,371,27.139449589180423,1.0,0.45611111111111113
41,314,561,22.057697768468902,1.0,0.565833333333333
42,227,605,17.04120049100245,1.0,0.5974444444444438
43,272,597,13.559404316374374,1.0,0.5868333333333328
44,300,593,11.354116541223211,1.0,0.5806111111111111
45,306,587,10.06772344529563,1.0,0.5772777777777778
46,310,581,9.393138041496906,1.0,0.5742777777777777
47,314,576,9.085930187171162,1.0,0.5716666666666665
48,317,573,8.958929607241156,1.0,0.57
49,322,566,9.073794785409218,1.0,0.5664444444444444
50,328,559,9.338879089365978,1.0,0.5627222222222221
51,330,556,9.627369501776887,1.0,0.5612222222222221
52,335,549,9.995876781295262,1.0,0.5576666666666665
53,344,541,10.490326380209282,1.0,0.5530555555555554
54,355,534,11.000348123984795,1.0,0.5485
55,361,530,11.516081989241203,1.0,0.5459444444444443
56,369,522,12.075561985194886,1.0,0.5414999999999999
57,372,519,12.55255363699124,1.0,0.5398333333333333
58,375,516,12.958039711718227,1.0,0.5381666666666666
59,377,515,13.258616955478331,1.0,0.5374444444444444
60,382,511,13.571032170644395,1.0,0.5350555555555555
61,383,509,13.843912740046045,1.0,0.534111111111111
62,385,507,14.083319527554453,1.0,0.5329999999999999
63,392,500,14.478083644523752,1.0,0.5291111111111111
64,397,495,14.846455294297979,1.0,0.5263333333333332
65,404,487,15.340043043114424,1.0,0.5220555555555555
66,406,486,15.710156180297151,1.0,0.5213333333333332
67,417,477,16.218732360891547,1.0,0.516
68,418,476,16.572689735723092,1.0,0.5154444444444444
69,418,477,16.801870021937305,1.0,0.5158333333333334
70,418,477,16.954692467330176,1.0,0.5158333333333334
71,423,473,17.226061862613207,1.0,0.5134444444444445
72,428,467,17.54636742800117,1.0,0.5102777777777778
73,432,461,17.90039723647107,1.0,0.5072777777777777
74,437,457,18.277361262852235,1.0,0.5048888888888888
75,445,450,18.72448118485434,1.0,0.5008333333333334
76,445,449,19.058098894843376,1.0,0.5004444444444445
77,445,447,19.345169480014285,1.0,0.49966666666666665
78,452,442,19.683584817560224,1.0,0.49655555555555553
79,458,436,20.095461521253984,1.0,0.4932222222222222
80,461,432,20.459125597347438,1.0,0.4911666666666667
81,612,272,25.241583765325583,1.0,0.4037777777777776
